,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
0,12346,326,12,77556.46,2,4,5,11,Loyal Customers
1,12347,2,8,5633.32,5,4,5,14,Champions
2,12348,75,5,2019.4,3,3,4,10,Loyal Customers
3,12349,19,4,4428.69,5,3,5,13,Champions
4,12350,310,1,334.4,2,1,2,5,At Risk
5,12351,375,1,300.93,2,1,2,5,At Risk
6,12352,36,10,2849.84,4,4,4,12,Loyal Customers
7,12353,204,2,406.76,2,2,2,6,At Risk
8,12354,232,1,1079.4,2,1,3,6,At Risk
9,12355,214,2,947.61,2,2,3,7,Needs Attention
10,12356,23,6,6373.68,4,3,5,12,Loyal Customers
11,12357,33,3,18287.66,4,2,5,11,Loyal Customers
12,12358,2,5,3887.07,5,3,5,13,Champions
13,12359,58,10,8935.94,4,4,5,13,Champions
14,12360,52,8,4252.89,4,4,5,13,Champions
15,12361,287,4,511.25,2,3,2,7,Needs Attention
16,12362,3,11,5356.23,5,4,5,14,Champions
17,12363,110,2,552.0,3,2,2,7,Needs Attention
18,12364,8,4,1313.1,5,3,4,12,Loyal Customers
19,12365,291,2,641.38,2,2,3,7,Needs Attention
20,12366,634,1,500.24,1,1,2,4,At Risk
21,12367,4,1,168.9,5,1,1,7,Needs Attention
22,12368,628,1,917.6999999999999,1,1,3,5,At Risk
23,12369,413,3,1791.15,1,2,4,7,Needs Attention
24,12370,51,7,4320.31,4,3,5,12,Loyal Customers
25,12371,45,5,4067.38,4,3,5,12,Loyal Customers
26,12372,72,3,1298.04,3,2,4,9,Needs Attention
27,12373,311,3,1127.65,2,2,3,7,Needs Attention
28,12374,25,4,2989.2200000000003,4,3,5,12,Loyal Customers
29,12375,11,2,457.5,5,2,2,9,Needs Attention
30,12376,390,2,503.15,2,2,2,6,At Risk
31,12377,315,4,3426.32,2,3,5,10,Loyal Customers
32,12378,130,2,5416.32,3,2,5,10,Loyal Customers
33,12379,82,4,1620.22,3,3,4,10,Loyal Customers
34,12380,22,11,9676.300000000001,4,4,5,13,Champions
35,12381,5,5,1845.31,5,3,4,12,Loyal Customers
36,12383,185,5,1850.56,3,3,4,10,Loyal Customers
37,12384,29,2,585.27,4,2,2,8,Needs Attention
38,12385,379,1,1938.4,2,1,4,7,Needs Attention
39,12386,338,2,660.8,2,2,3,7,Needs Attention
40,12387,415,1,143.94,1,1,1,3,At Risk
41,12388,16,8,3901.11,5,4,5,14,Champions
42,12389,403,3,1433.33,2,2,4,8,Needs Attention
43,12390,80,1,549.84,3,1,2,6,At Risk
44,12391,22,6,2773.42,4,3,4,11,Loyal Customers
45,12392,591,1,234.75000000000003,1,1,1,3,At Risk
46,12393,72,6,2399.4500000000003,3,3,4,10,Loyal Customers
47,12394,64,2,1272.48,3,2,4,9,Needs Attention
48,12395,19,15,5067.27,5,5,5,15,Champions
49,12396,674,1,931.43,1,1,3,5,At Risk
50,12397,36,2,2409.9,4,2,4,10,Loyal Customers
51,12398,46,1,1635.6599999999999,4,1,4,9,Needs Attention
52,12399,119,7,1962.3,3,3,4,10,Loyal Customers
53,12400,414,1,205.25,1,1,1,3,At Risk
54,12401,303,1,84.3,2,1,1,4,At Risk
55,12402,323,6,1256.9,2,3,4,9,Needs Attention
56,12403,50,2,1019.36,4,2,3,9,Needs Attention
57,12404,682,1,63.24,1,1,1,3,At Risk
58,12405,149,1,1710.39,3,1,4,8,Needs Attention
59,12406,22,5,6390.36,4,3,5,12,Loyal Customers
60,12407,50,5,1708.1200000000001,4,3,4,11,Loyal Customers
61,12408,33,8,4340.7699999999995,4,4,5,13,Champions
62,12409,79,7,23419.29,3,3,5,11,Loyal Customers
63,12410,309,3,1013.71,2,2,3,7,Needs Attention
64,12411,410,1,346.9,2,1,2,5,At Risk
65,12412,75,6,2596.93,3,3,4,10,Loyal Customers
66,12413,67,4,999.45,3,3,3,9,Needs Attention
67,12414,217,6,952.41,2,3,3,8,Needs Attention
68,12415,24,28,144458.37,4,5,5,14,Champions
69,12416,657,1,202.56,1,1,1,3,At Risk
70,12417,3,20,6816.91,5,5,5,15,Champions
71,12418,113,4,2021.2,3,3,4,10,Loyal Customers
72,12419,386,2,503.01,2,2,2,6,At Risk
73,12420,64,1,600.39,3,1,2,6,At Risk
74,12421,16,6,1098.6,5,3,3,11,Loyal Customers
75,12422,96,17,5231.8,3,5,5,13,Champions
76,12423,1,10,2622.39,5,4,4,13,Champions
77,12424,163,4,3340.03,3,3,5,11,Loyal Customers
78,12425,78,2,1741.41,3,2,4,9,Needs Attention
79,12426,195,2,1345.21,2,2,4,8,Needs Attention
80,12427,22,3,1129.3,4,2,3,9,Needs Attention
81,12428,26,9,7956.46,4,4,5,13,Champions
82,12429,9,8,7485.91,5,4,5,14,Champions
83,12430,43,1,256.4,4,1,1,6,At Risk
84,12431,36,27,10857.97,4,5,5,14,Champions
85,12432,43,5,5059.32,4,3,5,12,Loyal Customers
86,12433,1,10,20581.26,5,4,5,14,Champions
87,12434,85,3,1103.43,3,2,3,8,Needs Attention
88,12435,80,6,13925.93,3,3,5,11,Loyal Customers
89,12436,100,1,509.01,3,1,2,6,At Risk
90,12437,2,39,12683.4,5,5,5,15,Champions
91,12438,14,2,2906.85,5,2,4,11,Loyal Customers
92,12439,683,2,1158.18,1,2,3,6,At Risk
93,12440,462,2,859.2,1,2,3,6,At Risk
94,12441,367,1,347.1,2,1,2,5,At Risk
95,12442,3,1,172.06,5,1,1,7,Needs Attention
96,12443,732,1,485.31,1,1,2,4,At Risk
97,12444,21,5,5005.46,4,3,5,12,Loyal Customers
98,12445,22,2,434.98,4,2,2,8,Needs Attention
99,12446,58,1,1002.3100000000001,4,1,3,8,Needs Attention
100,12447,243,1,476.49,2,1,2,5,At Risk
101,12448,44,1,449.45,4,1,2,7,Needs Attention
102,12449,22,6,4835.89,4,3,5,12,Loyal Customers
103,12450,156,5,688.2,3,3,3,9,Needs Attention
104,12451,11,8,12669.88,5,4,5,14,Champions
105,12452,17,2,430.57,5,2,2,9,Needs Attention
106,12453,134,1,707.09,3,1,3,7,Needs Attention
107,12454,56,5,16679.78,4,3,5,12,Loyal Customers
108,12455,73,10,5879.95,3,4,5,12,Loyal Customers
109,12456,44,3,3181.04,4,2,5,11,Loyal Customers
110,12457,66,8,2995.91,3,4,5,12,Loyal Customers
111,12458,71,4,1777.49,3,3,4,10,Loyal Customers
112,12459,605,1,454.36,1,1,2,4,At Risk
113,12460,456,1,326.65,1,1,2,4,At Risk
114,12461,94,2,826.88,3,2,3,8,Needs Attention
115,12462,19,2,1189.59,5,2,3,10,Loyal Customers
116,12463,53,4,1344.78,4,3,4,11,Loyal Customers
117,12464,10,8,1212.05,5,4,3,12,Loyal Customers
118,12465,17,2,742.1899999999999,5,2,3,10,Loyal Customers
119,12466,682,1,56.73,1,1,1,3,At Risk
120,12467,423,1,132.8,1,1,1,3,At Risk
121,12468,188,5,3670.74,3,3,5,11,Loyal Customers
122,12469,523,2,3070.54,1,2,5,8,Needs Attention
123,12470,690,1,211.95,1,1,1,3,At Risk
124,12471,2,79,39963.79,5,5,5,15,Champions
125,12472,32,19,17880.59,4,5,5,14,Champions
126,12473,29,5,3938.5499999999997,4,3,5,12,Loyal Customers
127,12474,17,31,12424.45,5,5,5,15,Champions
128,12475,54,2,1149.64,4,2,3,9,Needs Attention
129,12476,16,23,14115.41,5,5,5,15,Champions
130,12477,23,9,20276.37,4,4,5,13,Champions
131,12478,4,1,680.99,5,1,3,9,Needs Attention
132,12479,11,1,527.2,5,1,2,8,Needs Attention
133,12480,28,7,5464.85,4,3,5,12,Loyal Customers
134,12481,23,15,12361.39,4,5,5,14,Champions
135,12482,576,29,23691.4,1,5,5,11,Loyal Customers
136,12483,17,19,5120.58,5,5,5,15,Champions
137,12484,33,12,6370.15,4,4,5,13,Champions
138,12485,529,1,708.1,1,1,3,5,At Risk
139,12486,432,1,1037.28,1,1,3,5,At Risk
140,12487,731,1,285.29999999999995,1,1,1,3,At Risk
141,12488,10,3,1298.66,5,2,4,11,Loyal Customers
142,12489,336,1,334.93,2,1,2,5,At Risk
143,12490,5,21,9823.64,5,5,5,15,Champions
144,12491,39,1,460.40000000000003,4,1,2,7,Needs Attention
145,12492,63,3,715.21,3,2,3,8,Needs Attention
146,12493,166,2,433.74,3,2,2,7,Needs Attention
147,12494,16,9,1872.8700000000001,5,4,4,13,Champions
